horizon,split,source_date_start,source_date_end,target_date_start,target_date_end,n_rows,n_districts
1,test,2022-08-01,2023-11-01,2022-09-01,2023-12-01,176,11
1,train,2018-03-01,2021-01-01,2018-04-01,2021-02-01,385,11
1,val,2021-02-01,2021-07-01,2021-03-01,2021-08-01,66,11
2,test,2022-07-01,2023-10-01,2022-09-01,2023-12-01,176,11
2,train,2018-03-01,2020-12-01,2018-05-01,2021-02-01,374,11
2,val,2021-01-01,2021-06-01,2021-03-01,2021-08-01,66,11
3,test,2022-06-01,2023-09-01,2022-09-01,2023-12-01,176,11
3,train,2018-03-01,2020-11-01,2018-06-01,2021-02-01,363,11
3,val,2020-12-01,2021-05-01,2021-03-01,2021-08-01,66,11
4,test,2022-05-01,2023-08-01,2022-09-01,2023-12-01,176,11
4,train,2018-03-01,2020-10-01,2018-07-01,2021-02-01,352,11
4,val,2020-11-01,2021-04-01,2021-03-01,2021-08-01,66,11
5,test,2022-04-01,2023-07-01,2022-09-01,2023-12-01,176,11
5,train,2018-03-01,2020-09-01,2018-08-01,2021-02-01,341,11
5,val,2020-10-01,2021-03-01,2021-03-01,2021-08-01,66,11
6,test,2022-03-01,2023-06-01,2022-09-01,2023-12-01,176,11
6,train,2018-03-01,2020-08-01,2018-09-01,2021-02-01,330,11
6,val,2020-09-01,2021-02-01,2021-03-01,2021-08-01,66,11
