ablation,horizon,runs,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,precision_mean,recall_mean,f1_mean
full,1,1,4111.078985888206,,1286.8204742404264,,-0.10817838561997206,,0.0,0.0,0.0
full,2,1,4110.786478612401,,1286.6203553704554,,-0.10802069528612357,,0.0,0.0,0.0
full,3,1,4110.824634585254,,1286.569218622077,,-0.1080412644905806,,0.0,0.0,0.0
full,4,1,4111.03346580247,,1286.7201270899088,,-0.1081538450572519,,0.0,0.0,0.0
full,5,1,4110.890935142525,,1286.5361274269342,,-0.1080770063926404,,0.0,0.0,0.0
full,6,1,4110.035453325444,,1285.9724980512274,,-0.10761586981076765,,0.0,0.0,0.0
no_climate,1,1,4111.2126225166585,,1286.8640539238638,,-0.10825043270575141,,0.0,0.0,0.0
no_climate,2,1,4111.0489388882315,,1286.792593630319,,-0.10816218679997514,,0.0,0.0,0.0
no_climate,3,1,4111.023733384019,,1286.696492604262,,-0.10814859819937395,,0.0,0.0,0.0
no_climate,4,1,4111.064580444928,,1286.6375807750558,,-0.1081706193994918,,0.0,0.0,0.0
no_climate,5,1,4110.990695461529,,1286.6861304287743,,-0.10813078717090119,,0.0,0.0,0.0
no_climate,6,1,4110.097177461603,,1286.209567338004,,-0.1076491382080349,,0.0,0.0,0.0
no_population_density,1,1,4111.082764983769,,1286.8236273846533,,-0.10818042299943365,,0.0,0.0,0.0
no_population_density,2,1,4110.909939819481,,1286.6638530634139,,-0.10808725171150568,,0.0,0.0,0.0
no_population_density,3,1,4110.82148612718,,1286.573117486296,,-0.10803956720575791,,0.0,0.0,0.0
no_population_density,4,1,4111.027905136031,,1286.7151419890752,,-0.10815084723698143,,0.0,0.0,0.0
no_population_density,5,1,4111.092299509748,,1286.6380900866475,,-0.1081855632449058,,0.0,0.0,0.0
no_population_density,6,1,4110.419096643312,,1286.0941985741165,,-0.10782265598774887,,0.0,0.0,0.0
no_serotype,1,1,4043.5067926503257,,1257.1590927830484,,-0.07204838623398424,,1.0,0.14,0.24561403508771928
no_serotype,2,1,4081.313313535016,,1271.619870732872,,-0.09218926896893787,,1.0,0.06060606060606061,0.11428571428571428
no_serotype,3,1,4090.6314139298956,,1272.75332724697,,-0.09718214564609307,,1.0,0.08080808080808081,0.14953271028037382
no_serotype,4,1,4079.537485813361,,1270.490809799186,,-0.09123902679257823,,1.0,0.10101010101010101,0.1834862385321101
no_serotype,5,1,4100.682633425974,,1278.1006308028204,,-0.102580611604985,,0.6666666666666666,0.020202020202020204,0.0392156862745098
no_serotype,6,1,4106.576515482013,,1281.3951821493974,,-0.1057523519092578,,0.0,0.0,0.0
no_temporal,1,1,4111.086386103756,,1286.863941994604,,-0.10818237521313279,,0.0,0.0,0.0
no_temporal,2,1,4110.902156825406,,1286.6603122660524,,-0.10808305593564205,,0.0,0.0,0.0
no_temporal,3,1,4110.956186502933,,1286.5941629178644,,-0.10811218324703686,,0.0,0.0,0.0
no_temporal,4,1,4111.087480609178,,1286.7413574044067,,-0.1081829652818711,,0.0,0.0,0.0
no_temporal,5,1,4110.955160787488,,1286.6164760684967,,-0.10811163028194204,,0.0,0.0,0.0
no_temporal,6,1,4110.090108197956,,1286.0774346898868,,-0.10764532795406101,,0.0,0.0,0.0
