horizon,split,source_date_start,source_date_end,target_date_start,target_date_end,n_rows,n_districts
1,train,2019-03-01,2021-01-01,2019-04-01,2021-02-01,253.0,11.0
1,val,2021-02-01,2021-07-01,2021-03-01,2021-08-01,66.0,11.0
1,test,2022-08-01,2023-11-01,2022-09-01,2023-12-01,176.0,11.0
1,purge_dates_available_in_input,2021-09-01,2022-08-01,,,,
2,train,2019-03-01,2020-12-01,2019-05-01,2021-02-01,242.0,11.0
2,val,2021-01-01,2021-06-01,2021-03-01,2021-08-01,66.0,11.0
2,test,2022-07-01,2023-10-01,2022-09-01,2023-12-01,176.0,11.0
2,purge_dates_available_in_input,2021-09-01,2022-08-01,,,,
3,train,2019-03-01,2020-11-01,2019-06-01,2021-02-01,231.0,11.0
3,val,2020-12-01,2021-05-01,2021-03-01,2021-08-01,66.0,11.0
3,test,2022-06-01,2023-09-01,2022-09-01,2023-12-01,176.0,11.0
3,purge_dates_available_in_input,2021-09-01,2022-08-01,,,,
4,train,2019-03-01,2020-10-01,2019-07-01,2021-02-01,220.0,11.0
4,val,2020-11-01,2021-04-01,2021-03-01,2021-08-01,66.0,11.0
4,test,2022-05-01,2023-08-01,2022-09-01,2023-12-01,176.0,11.0
4,purge_dates_available_in_input,2021-09-01,2022-08-01,,,,
5,train,2019-03-01,2020-09-01,2019-08-01,2021-02-01,209.0,11.0
5,val,2020-10-01,2021-03-01,2021-03-01,2021-08-01,66.0,11.0
5,test,2022-04-01,2023-07-01,2022-09-01,2023-12-01,176.0,11.0
5,purge_dates_available_in_input,2021-09-01,2022-08-01,,,,
6,train,2019-03-01,2020-08-01,2019-09-01,2021-02-01,198.0,11.0
6,val,2020-09-01,2021-02-01,2021-03-01,2021-08-01,66.0,11.0
6,test,2022-03-01,2023-06-01,2022-09-01,2023-12-01,176.0,11.0
6,purge_dates_available_in_input,2021-09-01,2022-08-01,,,,
