ablation,horizon,runs,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,precision_mean,recall_mean,f1_mean,SupportVectorRatio_mean
full,1,1,4111.9863044062595,,1287.381494199512,,-0.10866759136286541,,0.0,0.0,0.0,0.9525691699604744
full,2,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.9717171717171718
full,3,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.8760330578512396
full,4,1,4111.995152757932,,1287.4036544746816,,-0.1086723627266617,,0.0,0.0,0.0,0.9661733615221987
full,5,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.8917748917748918
full,6,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.9778270509977827
no_climate,1,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.9604743083003953
no_climate,2,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.9373737373737374
no_climate,3,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.8326446280991735
no_climate,4,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.945031712473573
no_climate,5,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.8506493506493507
no_climate,6,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.9401330376940134
no_population_density,1,1,4111.987253057754,,1287.3838700729796,,-0.10866810291091622,,0.0,0.0,0.0,0.9565217391304348
no_population_density,2,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.9696969696969697
no_population_density,3,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.8760330578512396
no_population_density,4,1,4111.995676365283,,1287.4049658105907,,-0.10867264507574714,,0.0,0.0,0.0,0.9682875264270613
no_population_density,5,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.8766233766233766
no_population_density,6,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.9667405764966741
no_serotype,1,1,4111.972746577997,,1287.232795803583,,-0.10866028049220056,,0.0,0.0,0.0,0.9782608695652174
no_serotype,2,1,4111.990723819093,,1287.4121938145204,,-0.10866997447508986,,0.0,0.0,0.0,0.9838383838383838
no_serotype,3,1,4104.275164715343,,1283.192379296518,,-0.1045133583224016,,1.0,0.020202020202020204,0.039603960396039604,0.8863636363636364
no_serotype,4,1,4112.012047901156,,1287.4230817933149,,-0.10868147325142674,,0.0,0.0,0.0,0.9788583509513742
no_serotype,5,1,4112.012731636777,,1287.4418743072001,,-0.10868184194931496,,0.0,0.0,0.0,0.9285714285714286
no_serotype,6,1,4111.626611989545,,1286.4879222228947,,-0.10847364038428098,,0.0,0.0,0.0,0.9778270509977827
no_temporal,1,1,4111.556849173708,,1286.326248254258,,-0.10843602530212837,,0.0,0.0,0.0,0.9841897233201581
no_temporal,2,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.9939393939393939
no_temporal,3,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.8739669421487604
no_temporal,4,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.9725158562367865
no_temporal,5,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.9242424242424242
no_temporal,6,1,4112.0132048171845,,1287.4488636363635,,-0.10868209710735566,,0.0,0.0,0.0,0.975609756097561
