Specification,horizon,n,RMSE,MAE,CVRMSE,NRMSE,sMAPE,MASE,Coverage80,MeanIntervalWidth80
Full specification,1,176,4111.249,1287.074,3.193,0.139,198.537,27.43,0.114,1.535
Full specification,2,176,4111.043,1286.842,3.193,0.139,196.698,27.425,0.108,1.759
Full specification,3,176,4110.979,1286.623,3.193,0.139,193.952,27.42,0.085,2.07
Full specification,4,176,4110.983,1286.529,3.193,0.139,192.612,27.418,0.091,2.214
Full specification,5,176,4110.987,1286.513,3.193,0.139,192.316,27.418,0.085,2.251
Full specification,6,176,4110.971,1286.514,3.193,0.139,192.316,27.418,0.085,2.253
No climate,1,176,4110.876,1286.568,3.193,0.139,195.979,27.419,0.074,2.58
No climate,2,176,4110.82,1286.522,3.193,0.139,195.389,27.418,0.097,2.525
No climate,3,176,4110.784,1286.502,3.193,0.139,195.05,27.417,0.091,2.574
No climate,4,176,4110.746,1286.463,3.193,0.139,194.686,27.417,0.074,2.712
No climate,5,176,4110.719,1286.419,3.193,0.139,194.263,27.416,0.074,2.861
No climate,6,176,4110.699,1286.396,3.193,0.139,194.039,27.415,0.074,2.962
No population density,1,176,4110.732,1286.825,3.193,0.139,194.36,27.424,0.108,3.357
No population density,2,176,4111.224,1287.017,3.193,0.139,195.465,27.428,0.119,2.67
No population density,3,176,4111.346,1287.078,3.193,0.139,196.098,27.43,0.119,2.37
No population density,4,176,4111.363,1287.09,3.193,0.139,196.403,27.43,0.119,2.302
No population density,5,176,4111.368,1287.093,3.193,0.139,196.509,27.43,0.119,2.29
No population density,6,176,4111.37,1287.094,3.193,0.139,196.515,27.43,0.119,2.292
No serotype,1,176,4110.458,1286.699,3.193,0.139,196.23,27.422,0.08,1.753
No serotype,2,176,4110.325,1286.566,3.193,0.139,195.568,27.419,0.08,1.903
No serotype,3,176,4110.292,1286.435,3.193,0.139,194.191,27.416,0.085,2.168
No serotype,4,176,4110.318,1286.341,3.193,0.139,193.124,27.414,0.085,2.462
No serotype,5,176,4110.339,1286.265,3.193,0.139,192.488,27.412,0.085,2.688
No serotype,6,176,4110.291,1286.196,3.193,0.139,192.262,27.411,0.085,2.876
No temporal,1,176,4111.063,1287.02,3.193,0.139,198.402,27.428,0.097,2.713
No temporal,2,176,4110.698,1286.828,3.193,0.139,197.877,27.424,0.097,3.065
No temporal,3,176,4110.656,1286.799,3.193,0.139,197.731,27.424,0.102,3.075
No temporal,4,176,4110.646,1286.789,3.193,0.139,197.657,27.423,0.102,3.071
No temporal,5,176,4110.645,1286.785,3.193,0.139,197.605,27.423,0.102,3.066
No temporal,6,176,4110.648,1286.784,3.193,0.139,197.564,27.423,0.102,3.061
