ablation,horizon,runs,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,precision_mean,recall_mean,f1_mean
full,1,1,4094.0625300549577,,1278.7890625,,-0.09902358055114746,,1.0,0.041237113402061855,0.07920792079207921
full,2,1,4092.7675233269724,,1243.64501953125,,-0.0983283519744873,,0.96875,0.3263157894736842,0.4881889763779528
full,3,1,4103.846732030815,,1280.04296875,,-0.10428285598754883,,0.0,0.0,0.0
full,4,1,4081.4256087793638,,1246.0089111328125,,-0.09224939346313477,,1.0,0.20652173913043478,0.34234234234234234
full,5,1,4111.849948624098,,1287.090087890625,,-0.10859417915344238,,0.0,0.0,0.0
full,6,1,4111.666572084852,,1287.250732421875,,-0.10849523544311523,,0.0,0.0,0.0
no_climate,1,1,4111.201284296355,,1286.4715576171875,,-0.10824429988861084,,0.0,0.0,0.0
no_climate,2,1,3952.5253952378343,,1175.4788818359375,,-0.024347662925720215,,0.8314606741573034,0.7789473684210526,0.8043478260869565
no_climate,3,1,4057.794967713376,,1227.7752685546875,,-0.07963824272155762,,0.8363636363636363,0.48936170212765956,0.6174496644295302
no_climate,4,1,4111.595797254395,,1286.7257080078125,,-0.10845708847045898,,0.0,0.0,0.0
no_climate,5,1,4111.681651100922,,1286.8348388671875,,-0.10850334167480469,,0.0,0.0,0.0
no_climate,6,1,4111.687731333692,,1286.990478515625,,-0.10850656032562256,,0.0,0.0,0.0
no_population_density,1,1,4068.323979232726,,1237.3546142578125,,-0.08524823188781738,,0.9743589743589743,0.3917525773195876,0.5588235294117647
no_population_density,2,1,3957.76780521546,,1149.51513671875,,-0.027066707611083984,,0.8571428571428571,0.9473684210526315,0.9
no_population_density,3,1,4064.5176835634506,,1271.468017578125,,-0.08321857452392578,,1.0,0.06382978723404255,0.12
no_population_density,4,1,4109.474662289573,,1285.3077392578125,,-0.10731363296508789,,0.0,0.0,0.0
no_population_density,5,1,4111.748046755783,,1286.8038330078125,,-0.10853910446166992,,0.0,0.0,0.0
no_population_density,6,1,4104.173729266343,,1275.0360107421875,,-0.10445892810821533,,1.0,0.03260869565217391,0.06315789473684211
no_serotype,1,1,4110.449123879287,,1285.7501220703125,,-0.10783886909484863,,0.0,0.0,0.0
no_serotype,2,1,4082.5285057179944,,1267.427734375,,-0.09283983707427979,,1.0,0.07368421052631578,0.13725490196078433
no_serotype,3,1,4109.9447684853385,,1285.083251953125,,-0.10756707191467285,,0.0,0.0,0.0
no_serotype,4,1,4111.338954647257,,1286.346435546875,,-0.10831856727600098,,0.0,0.0,0.0
no_serotype,5,1,4111.679462214923,,1286.8563232421875,,-0.10850226879119873,,0.0,0.0,0.0
no_serotype,6,1,4111.355007780282,,1286.70703125,,-0.10832726955413818,,0.0,0.0,0.0
no_temporal,1,1,4087.558929238819,,1276.207763671875,,-0.09553468227386475,,1.0,0.07216494845360824,0.1346153846153846
no_temporal,2,1,4107.636059828085,,1281.45849609375,,-0.1063230037689209,,0.0,0.0,0.0
no_temporal,3,1,4110.705049015314,,1286.144775390625,,-0.10797691345214844,,0.0,0.0,0.0
no_temporal,4,1,4090.7973550397237,,1239.2064208984375,,-0.09727120399475098,,0.8235294117647058,0.30434782608695654,0.4444444444444444
no_temporal,5,1,4111.870377334383,,1287.1259765625,,-0.10860514640808105,,0.0,0.0,0.0
no_temporal,6,1,4111.92461020384,,1287.281005859375,,-0.108634352684021,,0.0,0.0,0.0
